locale,key,value
nl_NL,delete_context,"Verwijder de context, geschiedenis en begin opnieuw. Dit verwijdert alle vector-embeddings!"
nl_NL,delete_context_button,Verwijder context
nl_NL,deleting_context,Context verwijderen en herinitialiseren...
nl_NL,rails_1,🤩 Probeer de volgende prompts ⬇️
nl_NL,rails_2,(kopieer en plak in de chat)
nl_NL,assistant_question,Waar kan ik mee helpen?
nl_NL,take_picture,Maak een foto
nl_NL,using_fusion_queries,Gebruikmakend van de volgende zoekopdrachten gebaseerd op je prompt volgens de Fusion Strategie:
nl_NL,no_context,Er werd geen extra context gebruikt aangezien de Vector Store is uitgeschakeld.
nl_NL,sources_used,De volgende context is opgehaald uit de Vector Database:
nl_NL,no_chat_history,Er werd geen Chatgeschiedenis gebruikt aangezien deze optie is uitgeschakeld.
nl_NL,chat_history_used,Chatgeschiedenisberichten gebruikt om deze respons samen te stellen

ro_RO,load_text,fragmente încărcate în Astra DB
ro_RO,load_pdf,fragmente încărcate în Astra DB
ro_RO,load_csv,fragmente încărcate în Astra DB
ro_RO,load_embedding,Obținerea embedding-ului OpenAI...
ro_RO,load_vectorstore,Obținerea stocării Vector din Astra DB...
ro_RO,load_message_history,Obținerea istoricului de mesaje...
ro_RO,assistant_welcome,"Bună, sunt asistentul tău personal și sunt pregătit să ajut!"
ro_RO,logout_caption,Bine ai venit! Conectat ca utilizator
ro_RO,logout_button,Deconectare
ro_RO,disable_chat_history,Dezactivarea istoricului de chat
ro_RO,k_chat_history,K pentru istoricul de chat
ro_RO,delete_chat_history_button,Ștergerea istoricului de chat
ro_RO,deleting_chat_history,În curs de ștergere a istoricului de chat
ro_RO,disable_vector_store,Dezactivarea stocării Vector
ro_RO,top_k_vector_store,Top-K pentru stocarea Vector
ro_RO,rag_strategy,Strategia RAG:
ro_RO,rag_strategy_help,"Căutările de bază găsesc documentul cel mai relevant cu informații potențial dublate. MMR asigură un echilibru între relevanță și diversitate în elementele recuperate. Fuziunea generează un set de interogări suplimentare relevante pentru a recupera documente relevante."
ro_RO,system_prompt,Promptul sistemului:
ro_RO,custom_prompt,Prompt personalizat:
ro_RO,custom_prompt_help,"Poți folosi următoarele locuri rezervate: {question}, {context}, {chat_history chatului}"
ro_RO,load_context,Încărcarea unui document pentru context suplimentar
ro_RO,load_context_button,Salvarea în baza de date Vector
ro_RO,load_from_urls,Încărcarea datelor din URL(uri):
ro_RO,load_from_urls_help,Separați mai multe URL-uri cu o virgulă
ro_RO,load_from_urls_button,Încărcarea datelor web
ro_RO,delete_context,"Ștergeți contextul, istoria și începeți de la început. Acest lucru șterge toate încorporările vectoriale!"
ro_RO,delete_context_button,Ștergeți contextul
ro_RO,deleting_context,Ștergerea contextului și reinițializarea...
ro_RO,rails_1,🤩 Încercați următoarele prompturi ⬇️
ro_RO,rails_2,(copiați și lipiți în chat)
ro_RO,assistant_question,Cu ce vă pot ajuta?
ro_RO,take_picture,Fă o fotografie
ro_RO,using_fusion_queries,Utilizând următoarele interogări bazate pe promptul dvs. conform Strategiei de Fuziune:
ro_RO,no_context,Nu s-a folosit context suplimentar deoarece stocarea Vector este dezactivată.
ro_RO,sources_used,Următorul context a fost preluat din baza de date Vector:
ro_RO,no_chat_history,Nu s-a folosit istoricul de chat deoarece această opțiune este dezactivată.
ro_RO,chat_history_used,Mesajele din istoricul de chat folosite pentru a construi acest răspuns.
